simulation,place_140_name,place_140_total,tournament_winner,tournament_size,change_from_baseline
1,Dean Nezam,715,Jose Marrero,3700,53
2,JW Kriewall,707,Sebastian L,3700,45
3,Sanjay Sundararajan,720,Grant Manley,3700,58
4,Tim Tipton,720,Owen Dalgard,3700,58
5,Dre Alderette,720,Jerrick Gumila,3700,58
6,Anthony Bruno,720,Tim Franklin,3700,58
7,Jalen Jones,710,Fernando Cifuentes,3700,48
8,Kyle Lesniewicz,720,Alberto Bonsanto,3700,58
9,Kevin Gomez,710,Cerys Jones,3700,48
10,Ethan Yi,700,Jelle van Kampen,3700,38
11,Pearce Blend,705,Eder F,3700,43
12,Henry Thompson,725,Anthony ARGENTE,3700,63
13,Anthony Bruno,720,Jonah Alter,3700,58
14,Orlando Karam,717,Jelle van Kampen,3700,55
15,Mustafa Tobah,717,Henry Chao,3700,55
16,Mario Martinez,707,Bortoni,3700,45
17,Nico Gist,716,Diego Cassiraga,3700,54
18,DC DeVos,707,Hector Adrian Pio Robles Sanchez,3700,45
19,Mustafa Tobah,717,Ethan Hegyi,3700,55
20,Ramiro Galindo,702,Ajay Sridhar,3700,40
21,Aaron Curry,720,Nicolas Galaz,3700,58
22,Ramiro Galindo,702,Raúl Merino,3700,40
23,Alex Hamilton,705,Esteban Ocompley,3700,43
24,Cameron Kawasaki,720,Justin Turner,3700,58
25,Tiger Hickman,720,tantan-h,3700,58
26,Tiger Hickman,720,lucas xing,3700,58
27,Mario Martinez,707,andres estefamp,3700,45
28,Alexander Dokuchaev,710,William Azevedo,3700,48
29,Dre Alderette,720,Yerco Valencia,3700,58
30,Jay Cristiano,720,Sebastian L,3700,58
31,Tiger Hickman,720,Steven Varesko,3700,58
32,Brandon Baughn,705,RAMIRO GALINDO,3700,43
33,Scotty Chesser,725,Christian Fontenot,3700,63
34,Mustafa Tobah,717,frvr,3700,55
35,Jon Bieligk,705,Giovanny Sasso Silva,3700,43
36,Brandon Baughn,705,Henry Chao,3700,43
37,Richard Yannow,715,Otavio Gouveia,3700,53
38,Arjun Khadse,720,Giovanny Sasso Silva,3700,58
39,DC DeVos,707,Jon Eng,3700,45
40,Daniel Merlo,722,Xander Pero,3700,60
41,Evan Bryant,705,Kim Pobega,3700,43
42,Cameron Kawasaki,720,Caleb Rogerson,3700,58
43,Christian Chase,720,Shane M,3700,58
44,Camden Freeze,716,Leonardo Walbrinch,3700,54
45,Justin Kim,715,Gonzalo Zamorano,3700,53
46,Camden Freeze,716,LEANDRO A,3700,54
47,Jay Cristiano,720,Aneil S,3700,58
48,Kyle Lesniewicz,720,Henry Chao,3700,58
49,Sawyer Melban,720,Caleb Rogerson,3700,58
50,jesse spencer,719,Alejandro Eijo,3700,57
51,Adam Reinhardt,705,Alberto Bonsanto,3700,43
52,Shun Takemasa,724,Gabriel Smart,3700,62
53,Eric Ridgeway,710,Drew Hedrick,3700,48
54,Shun Takemasa,704,Caleb Gedemer,3700,42
55,Frank Luciano,720,Matt Chuang,3700,58
56,George Illidge,720,Nathan Ginsburg,3700,58
57,Pearce Blend,705,ElNeneMalo_TCG,3700,43
58,Ming Weng,720,Steven Varesko,3700,58
59,Cyrus McCane,720,Sebastian L,3700,58
60,Jon Bieligk,705,Yoann Barszezak,3700,43
61,Dean Nezam,715,Alejandro Eijo,3700,53
62,Ramiro Galindo,702,Jamie Hindley,3700,40
63,Ajay Sridhar,712,Cameron Kawasaki,3700,50
64,Dominic Viola,719,Nicholas Moffitt,3700,57
65,Ramiro Galindo,722,Neddy Kosek,3700,60
66,Elsie Croizer,720,Orlando Karam,3700,58
67,Jeremiah Schmutz,720,VIANNEY LEROY,3700,58
68,Christian Chase,720,Yoann Barszezak,3700,58
69,Shun Takemasa,724,Jan Hausmann,3700,62
70,Adam Reinhardt,705,rafael yuiti,3700,43
71,jesse spencer,719,Giovanny Sasso Silva,3700,57
72,Adam Reinhardt,705,rafael yuiti,3700,43
73,Matt Bacnis,720,Ojvind Svinhufvud,3700,58
74,Benjamin Nackman,715,Daniel Magda,3700,53
75,Pearce Blend,705,Brent Tonisson,3700,43
76,Sammy Allen,720,andres estefamp,3700,58
77,jesse spencer,719,Daniel Magda,3700,57
78,Elsie Croizer,720,CHARIZARDMT,3700,58
79,Cameron Kawasaki,720,Michael Ingalls,3700,58
80,Sergio Rodriguez,717,Brent Tonisson,3700,55
81,Sanjay Sundararajan,700,Cerys Jones,3700,38
82,Richard Yannow,715,Grant S,3700,53
83,Mario Martinez,707,Miloslav Poslední,3700,45
84,Joey Gaffney,717,RAMIRO GALINDO,3700,55
85,Adam Reinhardt,705,Justin Kempley,3700,43
86,Jeremiah Schmutz,720,Damian Gabriel Riquel,3700,58
87,Shun Takemasa,704,Daniel Powell,3700,42
88,Brandon Baughn,705,Nathan Stratford,3700,43
89,Brandon Baughn,705,Eder F,3700,43
90,Jalen Jones,710,Giovanny Sasso Silva,3700,48
91,Solomon Shurge,721,Iain Harding,3700,59
92,Vance Kelley,714,Jerrick Gumila,3700,52
93,Aaron Curry,720,Jeremy Gumila,3700,58
94,Kevin Gomez,730,zach lesage,3700,68
95,jesse spencer,719,Jeremy Medina,3700,57
96,Matt Bacnis,720,CHARIZARDMT,3700,58
97,Jalen Jones,710,Liam Halliburton,3700,48
98,Justin Kim,715,Jonah Alter,3700,53
99,Dean Nezam,715,Joseph Figliano,3700,53
100,Orlando Karam,717,Rahul Reddy,3700,55
