Rank,Player,Country Code,Country,Championship Points
1,Daniel Magda,CZE,Czech Republic,1600
2,Alberto Conti,ITA,Italy,1485
3,julius brunfeldt,FIN,Finland,1387
4,James C,NLD,Netherlands,1334
5,Yoann Barszezak,FRA,France,1320
6,Miloslav Poslední,CZE,Czech Republic,1237
7,Rune Heiremans,BEL,Belgium,1210
8,Rone Nielsen,DNK,Denmark,1192
9,Tord Reklev,NOR,Norway,1175
10,Ojvind Svinhufvud,FIN,Finland,1168
11,Kim Pobega,ITA,Italy,1140
12,Oscar Madsen,DNK,Denmark,1120
13,Stéphane Ivanoff,FRA,France,1082
14,alessandro cremascoli,ITA,Italy,1060
15,Christian Fontenot,DNK,Denmark,1040
16,Aarni Karjala,FIN,Finland,1035
17,Jelle van Kampen,NLD,Netherlands,1021
18,Daniel Powell,GBR,United Kingdom (Great Britain),1020
19,Magnus Pedersen,DNK,Denmark,1010
20,Leon Thiemann,DEU,Germany,1005
21,Christian D'Onofrio,ITA,Italy,990
22,Jonathan Sharpling,GBR,United Kingdom (Great Britain),990
23,Riccardo Coviello,ITA,Italy,970
24,Ethan Wilde,GBR,United Kingdom (Great Britain),965
25,Jan Hausmann,DEU,Germany,945
26,Matthew Houtput,BEL,Belgium,927
27,Simone Fiorito,ITA,Italy,920
28,Owyn Kamerman,NLD,Netherlands,900
29,Hermanni Hietalahti,FIN,Finland,894
30,Joah W,DEU,Germany,890
31,Justin Kempley,GBR,United Kingdom (Great Britain),880
32,Stefano Da Silva Fontinha Coelho,ITA,Italy,880
33,David Walerian Rzepka,DEU,Germany,874
34,Thomas Launay,FRA,France,865
35,Neddy Kosek,CZE,Czech Republic,861
36,Nathan Doyle,IRL,Ireland,860
37,Francesco Pasquale Caterino,ITA,Italy,860
38,Rose Gregson,GBR,United Kingdom (Great Britain),847
39,Patrik Bartošovič,CZE,Czech Republic,845
40,Jamie Hindley,GBR,United Kingdom (Great Britain),840
41,Mads Jensen,DNK,Denmark,835
42,Gino Pili,NLD,Netherlands,825
43,Filippo Colamorea,ITA,Italy,820
44,Alessio Cefola,ITA,Italy,815
45,Mateusz Laszkiewicz,POL,Poland,815
46,harvey scheinman,GBR,United Kingdom (Great Britain),810
47,Simone Canziani,ITA,Italy,807
48,Anthony ARGENTE,FRA,France,805
49,VIANNEY LEROY,FRA,France,805
50,ZapdosTCG,BEL,Belgium,800
51,Sitschgu,CHE,Switzerland,799
52,Thomas Jones,GBR,United Kingdom (Great Britain),797
53,Brennan Kamerman,NLD,Netherlands,784
54,Bryan de Vries,NLD,Netherlands,783
55,Bert Wolters,NLD,Netherlands,779
56,Simone Lasaponara,ITA,Italy,774
57,fabrizio Tallone,ITA,Italy,773
58,Alberto Benvenga,ITA,Italy,770
59,Sergio Ravelli,ITA,Italy,770
60,Glenn Bauwens,BEL,Belgium,769
61,jari honraedt,BEL,Belgium,765
62,Janek Jagiełło,POL,Poland,765
63,Drew Stephenson,GBR,United Kingdom (Great Britain),765
64,Pedro Vicêncio,PRT,Portugal,765
65,fabien pujol,FRA,France,762
66,demetris eaton,GBR,United Kingdom (Great Britain),762
67,Joshua Bond,GBR,United Kingdom (Great Britain),760
68,DrZorat,ITA,Italy,760
69,Bo Vinke,NLD,Netherlands,759
70,clement c,FRA,France,759
71,Nicholas Forsinetti,ITA,Italy,757
72,Mathias Bøcker Jakobsen,DNK,Denmark,756
73,Ondrej Skubal,CZE,Czech Republic,754
74,Niklaus Christen,CHE,Switzerland,752
75,Vincent Fatunz,DEU,Germany,747
76,Thomas D,FRA,France,745
77,Bas Juffer,NLD,Netherlands,745
78,Koen M,NLD,Netherlands,745
79,Oscar Rivas,ESP,Spain,744
80,Javier Tengo Jofre,ESP,Spain,740
81,Arthur VINCENT,FRA,France,740
82,Joshua B,DEU,Germany,730
83,Alex Rutowicz,POL,Poland,730
84,StolcoKeram,SVK,Slovakia (Slovak Republic),730
85,Konsta Kallama,FIN,Finland,729
86,Finn Bakewell,GBR,United Kingdom (Great Britain),725
87,Kristian Hodas,SVK,Slovakia (Slovak Republic),725
87,Michael C,ITA,Italy,725
89,Atilla G,NLD,Netherlands,725
90,Miłosz Dyrlica,POL,Poland,725
91,Sander Wojcik,NLD,Netherlands,724
92,Dario scarnò,ITA,Italy,720
93,Pedro Eugenio Torres,ESP,Spain,720
94,Alex Bortolini,ITA,Italy,720
95,James de Boer,GBR,United Kingdom (Great Britain),720
96,Victor ZHAO,FRA,France,719
97,Mathias Cohen-Solal,FRA,France,719
98,Toby Clark,GBR,United Kingdom (Great Britain),717
99,Jan Schäfer,DEU,Germany,717
100,Bernard Kościk,POL,Poland,715
101,Bartosz Bialik,POL,Poland,715
102,Nofoume B,FRA,France,715
103,Nico Alabas,DEU,Germany,715
104,Robin Schulz,DEU,Germany,713
105,Nicolai Stiborg,DNK,Denmark,712
106,Brent Coosemans,BEL,Belgium,710
107,Jesper Eriksen,DNK,Denmark,707
108,Alessandro Bax,ITA,Italy,705
109,Kai Wainwright,GBR,United Kingdom (Great Britain),705
110,Nina E,DEU,Germany,705
111,Joshua Galys,DEU,Germany,705
112,heddi B,FRA,France,705
113,Nicolas D,DEU,Germany,705
114,Piotr Matlinski,POL,Poland,704
115,Michael Hunter,IRL,Ireland,702
116,Denis Provázek,CZE,Czech Republic,702
117,Lewis Roach,GBR,United Kingdom (Great Britain),702
118,Anthony Blanchard,FRA,France,700
119,Maciek Chojnacki,POL,Poland,700
120,Antoine Boulay,FRA,France,700
121,Jack Gregory-Campbell,GBR,United Kingdom (Great Britain),694
122,Ashley Richards,GBR,United Kingdom (Great Britain),690
123,Stephen Law,GBR,United Kingdom (Great Britain),690
124,Nino Anderluh,SVN,Slovenia,690
125,david marel,CZE,Czech Republic,690
126,Eemeli Reijonen,FIN,Finland,690
127,Edwyn Mesman,NLD,Netherlands,687
128,Lizzie willet,DNK,Denmark,685
129,Juho Kallama,FIN,Finland,685
130,Marijn Van Duivenboden,NLD,Netherlands,685
131,Luke Parkes,GBR,United Kingdom (Great Britain),685
132,Elmar Tresp,DEU,Germany,684
133,Matěj Nesvadba,CZE,Czech Republic,682
134,nersman,DEU,Germany,680
135,Gauthier Vesseron,FRA,France,680
136,Lewis Beck,GBR,United Kingdom (Great Britain),680
137,Julius Mo Krag,DNK,Denmark,680
138,Arthur Trutzschler,NLD,Netherlands,677
139,Benjamin M,NOR,Norway,669
140,Uffe A,DNK,Denmark,661
141,Carlo Antonio Del Vescovo,ITA,Italy,661
142,Hugo de Torres Palacios,ESP,Spain,660
143,Emanuele Sirini,ITA,Italy,660
144,Gioele R,DEU,Germany,660
