Rank,Player,Country Code,Country,Championship Points
1,Giovanny Sasso Silva,BRA,Brazil,1704
2,rafael yuiti,BRA,Brazil,1557
3,Yerco Valencia,CHL,Chile,1475
4,JuanAndree14,CHL,Chile,1430
5,fabrizio inga silva,PER,Peru,1395
6,Matias Matricardi,ARG,Argentina,1395
7,Vinícius Fernandez,BRA,Brazil,1370
8,francisco-osori,CHL,Chile,1310
9,Nicolas Galaz,CHL,Chile,1302
10,PEDRO PERTUSI,BRA,Brazil,1292
11,Vitor Lugon,BRA,Brazil,1270
12,William Azevedo,BRA,Brazil,1210
13,Eder F,MEX,Mexico,1144
14,Alejandro Eijo,BRA,Brazil,1085
15,Andres Lostaunau,PER,Peru,1072
16,Carlos Sepúlveda,CHL,Chile,1070
17,Diego Cassiraga,ARG,Argentina,1050
18,Marco C,CHL,Chile,1035
19,Victor De Velasco,MEX,Mexico,1025
20,Carlos Medina Astete,PER,Peru,995
21,Isaac Salazar,CHL,Chile,934
22,JoRequena_,BRA,Brazil,930
23,Damian Gabriel Riquel,ARG,Argentina,920
24,João Pedro Medeiros Zambrano,BRA,Brazil,878
25,Fernando Cifuentes,CHL,Chile,876
26,Víctor García Montes,MEX,Mexico,860
27,Marco Aurelio Fernandes Garcia,BRA,Brazil,850
28,Jonathan Fabrizio Bellucci Lanciano,ARG,Argentina,831
29,Laura Braga,BRA,Brazil,831
30,Victor Freitas,BRA,Brazil,830
31,LEANDRO A,BRA,Brazil,827
32,Gabriel Massaroth,BRA,Brazil,795
33,Leonardo Walbrinch,BRA,Brazil,794
34,Gonzalo Zamorano,CHL,Chile,792
35,miguel rojas,CHL,Chile,790
36,Raúl Merino,PER,Peru,785
37,andres estefamp,CHL,Chile,785
38,Esteban Ocompley,CHL,Chile,775
39,Matías Martini,CHL,Chile,762
40,Alejo Antonio Salvador Iturbe,ARG,Argentina,754
41,ElNeneMalo_TCG,MEX,Mexico,745
42,Agustin Perkins,ARG,Argentina,744
43,Andres Torres,COL,Colombia,731
44,Alberto Bonsanto,MEX,Mexico,725
45,Bortoni,BRA,Brazil,719
46,Pablo Meza,MEX,Mexico,717
