Rank,Player,Country Code,Country,Championship Points
1,Sheldon Kuppan,ZAF,South Africa,794
2,Jonah Alter,ZAF,South Africa,762
3,frvr,ZAF,South Africa,690
4,Michael Byrne,ZAF,South Africa,669
5,PostSimone,ZAF,South Africa,665
6,Renier Smit,ZAF,South Africa,560
7,Zahir Abdul Hamid,ZAF,South Africa,539
8,Ethan Webber,ZAF,South Africa,510
9,AsianShane,ZAF,South Africa,481
10,Raz Wolpe,ISR,Israel,460
11,Tevin Pillay,ZAF,South Africa,454
12,Mahomed M,ZAF,South Africa,429
13,Dwayne Erasmus,ZAF,South Africa,411
14,Mjfellowactuary,ZAF,South Africa,400
15,Rudolph Du Plessis,ZAF,South Africa,397
16,Harel Manhaim,ISR,Israel,392
17,Barne M,ZAF,South Africa,369
18,Peter Stone,ZAF,South Africa,353
19,NephalemProject,ZAF,South Africa,329
20,Sandesh Chand,ZAF,South Africa,328
21,Zaynie,ZAF,South Africa,320
22,Jateen Algu,ZAF,South Africa,319
23,Steven Changfoot,ZAF,South Africa,309
24,Kamelesan Pillay,ZAF,South Africa,260
25,AJ Smit,ZAF,South Africa,248
26,Darren H,ZAF,South Africa,245
27,Sashin Naidoo,ZAF,South Africa,243
28,Craig Foord,ZAF,South Africa,240
29,Aaqil Sedien,ZAF,South Africa,239
30,Tyson Wadeley,ZAF,South Africa,232
31,Damen Moodley,ZAF,South Africa,214
32,tracyindaeyo,ZAF,South Africa,204
33,Gareth Berry,ZAF,South Africa,203
34,Nici Slabber,ZAF,South Africa,202
35,Matthew Vrede,ZAF,South Africa,199
36,Marco Chu,ZAF,South Africa,190
37,Romano Pillay,ZAF,South Africa,187
38,Caleb Amos,ZAF,South Africa,186
39,David Kramer,ISR,Israel,186
40,Dyiaa Aldin A,ARE,United Arab Emirates,183
41,Ryan Nagiah,ZAF,South Africa,178
42,Gareth Stock,ZAF,South Africa,171
43,Ebrahim M,ZAF,South Africa,169
44,Luke Jonkers,ZAF,South Africa,169
45,Shayne Adams,ZAF,South Africa,165
46,Shravan l,ZAF,South Africa,161
47,Warren du Toit,ZAF,South Africa,160
48,Ultrazoid,ZAF,South Africa,157
49,Sam Wattar,ARE,United Arab Emirates,152
50,Joshua Newton,ZAF,South Africa,150
51,Charl Meistre,ZAF,South Africa,147
52,Eric Dai,ZAF,South Africa,146
53,Robert Wild,ZAF,South Africa,144
54,Bilal Ahmad,ZAF,South Africa,140
55,Yu Weng,ZAF,South Africa,136
56,Jimmy0145,ZAF,South Africa,135
57,underdog9669,ZAF,South Africa,135
58,Wesley du Preez,ZAF,South Africa,134
59,Corbin Nel,ZAF,South Africa,133
60,Matthew Erasmus,ZAF,South Africa,133
61,Supersetta,ZAF,South Africa,125
62,Byron Lilford,ZAF,South Africa,125
63,Warren Leibbrandt,ZAF,South Africa,115
64,daniel t,ZAF,South Africa,112
65,tristan bridger,SOM,Somalia,107
66,wian w,ZAF,South Africa,106
67,Mihir Ramsunder,ZAF,South Africa,105
68,Sam Peeters,ARE,United Arab Emirates,104
69,Zayd Patel,ZAF,South Africa,101
70,Faisal A,KWT,Kuwait,100
71,Nick van Niekerk,ZAF,South Africa,92
72,[screen name not set],ZAF,South Africa,91
73,Denise Pillay,ZAF,South Africa,81
74,amir nevo,ISR,Israel,80
75,Raz Shamir,ISR,Israel,80
76,Camaren Naidoo,ZAF,South Africa,75
77,Raymond le Grange,ZAF,South Africa,75
78,Johannes Botma,ZAF,South Africa,74
79,Casey Hoffmann,ZAF,South Africa,72
80,Emille Hoffmann,ZAF,South Africa,68
81,Kaylin Govender,ZAF,South Africa,65
82,Alexander van Hemert,ZAF,South Africa,65
83,Daniel Hess,ZAF,South Africa,65
84,Chris Schoeman,ZAF,South Africa,58
85,Leslie Dwolatzky,ZAF,South Africa,57
86,Stefan Munro,ZAF,South Africa,57
87,Steven Ingram,ZAF,South Africa,56
88,robb35mm,ZAF,South Africa,54
89,Lourens Kriel,ZAF,South Africa,53
90,Yves-Francois Rivard,ZAF,South Africa,50
91,DanTheSlothMan,ZAF,South Africa,50
92,Calvin Botha,ZAF,South Africa,50
93,Fawaz A,KWT,Kuwait,50
94,BoB187VaGeS,ZAF,South Africa,49
95,Ryan Bensimon,ZAF,South Africa,48
96,Elias Habib,ARE,United Arab Emirates,45
97,ProxiePixie,ZAF,South Africa,42
98,Charlie Armstrong,ZAF,South Africa,42
99,Bruce Crossey,ZAF,South Africa,40
100,Keagan Williamson,ZAF,South Africa,40
