Rank,Player,Country Code,Country,Championship Points
1,Brent Tonisson,AUS,Australia,2020
2,Natalie Millar,AUS,Australia,1440
3,Tim Franklin,AUS,Australia,1310
4,Kaiwen Cabbabe,AUS,Australia,990
5,Lucas Hamilton-foster,AUS,Australia,970
6,angus johnson,AUS,Australia,905
7,Justin Hoy,AUS,Australia,900
8,Matthew Burris,AUS,Australia,870
9,Peter Lo,AUS,Australia,832
10,Alexander Thorvaldson,AUS,Australia,782
11,Vignesh Krishnan,AUS,Australia,729
12,Edin V,AUS,Australia,727
13,Andi Cheung,AUS,Australia,720
14,Christian Viti,AUS,Australia,700
15,Charlie King,AUS,Australia,700
16,yuhao xia,AUS,Australia,680
17,Jeremy Lim,AUS,Australia,660
18,Sh3pathome,NZL,New Zealand,660
19,jordan palmer,AUS,Australia,625
20,Jake Dunstan,AUS,Australia,625
21,Callum Walker,AUS,Australia,619
22,Matthew Bray,AUS,Australia,595
23,Nathan Spry,AUS,Australia,580
24,Jayce-x,AUS,Australia,579
25,Jett Posani,AUS,Australia,567
26,James Goreing,AUS,Australia,560
27,Ashton Grant,AUS,Australia,557
28,Henry Brand,AUS,Australia,548
29,Jamison Bulloch,AUS,Australia,520
30,Siu Chun Lee,AUS,Australia,518
31,Katherine M,AUS,Australia,515
32,Oliver H,AUS,Australia,510
33,Ryan Bielak,AUS,Australia,504
34,Jason Yip,AUS,Australia,503
35,ikuraranuka,AUS,Australia,503
36,ElvianElvy03,AUS,Australia,482
37,Roman Addamo,AUS,Australia,480
38,Thomas Bourke,AUS,Australia,480
39,Anton Piccio,AUS,Australia,472
40,Sameer S,AUS,Australia,470
41,Sophia Crunkhorn,AUS,Australia,469
42,James Williams,AUS,Australia,459
43,Corey Munro,AUS,Australia,441
44,Samantha T,AUS,Australia,436
45,Ethan Stoeckert,AUS,Australia,429
46,Tyler B,AUS,Australia,420
47,Sean Takemoto,AUS,Australia,414
48,Yu Xiang,NZL,New Zealand,410
49,Victor S,AUS,Australia,407
50,Joshua Smart,AUS,Australia,401
51,Ciaran Bradley,NZL,New Zealand,400
52,Kelvin Duong,AUS,Australia,396
53,Jake Cruwys,AUS,Australia,393
54,michael kan,AUS,Australia,383
55,Deacan Page,AUS,Australia,376
56,Chris Cheung,AUS,Australia,374
57,Hakim Moussaoui,AUS,Australia,372
58,Josh Sparks,AUS,Australia,371
59,Jake Austin,AUS,Australia,366
60,Jorge Soria,AUS,Australia,364
61,Chang Lu,AUS,Australia,362
62,CRISISAngel07,AUS,Australia,362
63,Troy Fisher,AUS,Australia,360
64,Hayden Peters,AUS,Australia,359
65,Gareth Murphy,AUS,Australia,352
66,Nathan W,AUS,Australia,351
67,David Daritan,AUS,Australia,349
68,Christopher Mathers,AUS,Australia,340
69,Chia-Chen Hung,AUS,Australia,337
70,Alistair Menzies,AUS,Australia,336
71,Leigh Edwards,AUS,Australia,335
72,Jesse B,AUS,Australia,330
73,Shaun Sewell,AUS,Australia,329
74,Luke Schmitt,AUS,Australia,326
75,Sam H,AUS,Australia,321
76,Morris Arnold,AUS,Australia,311
77,Andrew Pender,AUS,Australia,308
78,keegan Burt,AUS,Australia,307
79,Jake Herden,AUS,Australia,305
80,Mitch Knuckey,AUS,Australia,303
81,Nicholas Fox,AUS,Australia,301
82,Adam Paterson,NZL,New Zealand,300
83,Brittany Mitchell,AUS,Australia,297
84,Thomas Hormann,AUS,Australia,296
85,Sylas Golding,AUS,Australia,293
86,Shaun Murphy,AUS,Australia,293
87,Hayden Matthews,AUS,Australia,293
88,Ehren R,AUS,Australia,292
89,Yanqiu Han,AUS,Australia,292
90,Mia Fountain,AUS,Australia,291
91,Courtney Fox,AUS,Australia,291
92,Nicolas Musumeci,AUS,Australia,289
93,johnnyc0822,AUS,Australia,288
94,Shawn Zillmann,AUS,Australia,287
95,Simon Williams,AUS,Australia,286
96,Yi Fei R,AUS,Australia,286
97,Christopher F,AUS,Australia,285
98,Tibor Baranyay,AUS,Australia,284
99,zane roach,NZL,New Zealand,282
100,Luluography,AUS,Australia,279
